Date,Stage,Match,Team,Win,Enemy,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,K,D,A,Gold,Level,Tower,Lord ,Turtle,"Buff 
Merah","Buff
 Biru"
3/8/2024,Regular Season,2,EVOS Glory,Lose,Alter Ego,Veldora,Paquito,Fighter/Assassin,Minotaur,Tank/Support,Sprint,Fighter,Agility,Festival of Blood,Quantum Charge,17:40,1,4,0,9300,15,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,Lose,Alter Ego,VAN,Baxia,Tank,Tigreal,Tank,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:40,0,3,2,8000,15,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,Lose,Alter Ego,Warlord,Lylia,Mage,Nolan,Assassin,Sprint,Mage,Inspire,Wilderness Blessing.,Impure Rage,17:40,1,3,1,10100,15,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,Lose,Alter Ego,VaanStrong,Ruby,Fighter/Tank,Arlott,Fighter/Assassin,Flicker,Tank,Vitality,Wilderness Blessing.,Brave Smite,17:40,0,6,2,7400,14,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,Lose,Alter Ego,Super Red,Harith,Mage,Fanny,Assassin,Flicker,Mage,Inspire,Festival of Blood,Impure Rage,17:40,0,3,1,9900,15,2,0,1,5,7
3/8/2024,Regular Season,2,Alter Ego,Win,EVOS Glory,Pai,Terizla,Fighter,Guinevere,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,17:40,8,0,3,14800,15,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Win,EVOS Glory,Tazz,Joy,Assassin,Mathilda,Support/Assassin,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,17:40,4,1,10,9800,15,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Win,EVOS Glory,Cr1te,Phoveus,Fighter,Cici,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Impure Rage,17:40,2,0,11,10000,15,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Win,EVOS Glory,Rasy,Angela,Support,Faramis,Support/Mage,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,17:40,4,0,10,15800,15,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Win,EVOS Glory,Nino,Brody,Marksman,Odette,Mage,Flicker,Assassin,Rupture,Master Assassin,Quantum Charge,17:40,1,1,10,9700,15,8,3,2,11,11
3/8/2024,Regular Season,1,Rebellion Esports,Lose,"Dewa United Esports",Karss,Ruby,Fighter/Tank,Kaja,Support/Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,17:36,1,2,2,7700,14,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,Lose,"Dewa United Esports",Vincentt,Hanzo,Assassin,Claude,Marksman,Retribution,Assassin,Thrill,Wilderness Blessing.,Lethal Ignition,17:36,5,2,1,12200,15,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,Lose,"Dewa United Esports",SwayLow,Valentina,Mage,Nolan,Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Quantum Charge,17:36,0,3,5,9000,15,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,Lose,"Dewa United Esports",AudyTzy,Tigreal,Tank,Cici,Fighter,Flicker,Tank,Firmness,Tenacity,Concussive Blast,17:36,0,3,4,6800,14,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,Lose,"Dewa United Esports",Moai,Bruno,Marksman,Fanny,Assassin,Purify,Assassin,Fatal,Tenacity,Quantum Charge,17:36,2,3,2,9800,15,5,1,2,9,11
3/8/2024,Regular Season,1,"Dewa United Esports",Win,Rebellion Esports,Dyx0n,Arlott,Fighter/Assassin,Mathilda,Support/Assassin,Flicker,Common,Rupture,Tenacity,Brave Smite,17:36,4,2,7,9100,15,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Win,Rebellion Esports,Garry,Baxia,Tank,Joy,Assassin,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:36,3,2,6,9000,15,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Win,Rebellion Esports,Keyz,Vexana,Mage,Novaria,Mage,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,17:36,0,1,9,9100,15,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Win,Rebellion Esports,Drian,Chou,Fighter,Barats,Tank/Fighter,Flicker,Assassin,Thrill,Wilderness Blessing.,Lethal Ignition,17:36,2,3,5,10100,15,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Win,Rebellion Esports,Watt,Karrie,Marksman,Fredrinn,Fighter/Tank,Purify,Common,Firmness,Festival of Blood,Brave Smite,17:36,4,0,7,13600,15,1,1,7,8,6
3/8/2024,Regular Season,2,"Dewa United Esports",Win,Rebellion Esports,Dyx0n,Thamuz,Fighter,Nolan,Assassin,Vengeance,Fighter,Thrill,Festival of Blood,Impure Rage,20:20,4,4,3,13000,15,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Win,Rebellion Esports,Garry,Fredrinn,Fighter/Tank,Cici,Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,20:20,3,1,3,11600,15,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Win,Rebellion Esports,Keyz,Novaria,Mage,Fanny,Assassin,Flicker,Assassin,Rupture,Wilderness Blessing.,Impure Rage,20:20,1,0,9,12200,15,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Win,Rebellion Esports,Drian,Minotaur,Tank/Support,Arlott,Fighter/Assassin,Flicker,Tank,Firmness,Tenacity,Concussive Blast,20:20,0,2,8,9800,15,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Win,Rebellion Esports,Watt,Karrie,Marksman,Lapu-Lapu,Fighter,Flicker,Common,Firmness,Tenacity,Brave Smite,20:20,4,0,4,14400,15,9,3,2,10,13
3/8/2024,Regular Season,2,Rebellion Esports,Lose,"Dewa United Esports",Karss,X.Borg,Fighter,Ruby,Fighter/Tank,Flicker,Tank,Agility,Festival of Blood,Brave Smite,20:20,2,1,3,10900,15,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,Lose,"Dewa United Esports",Vincentt,Baxia,Tank,Kaja,Support/Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,20:20,0,5,4,9600,15,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,Lose,"Dewa United Esports",SwayLow,Valentina,Mage,Guinevere,Fighter,Flicker,Mage,Inspire,Wilderness Blessing.,Quantum Charge,20:20,0,3,3,9700,15,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,Lose,"Dewa United Esports",AudyTzy,Angela,Support,Joy,Assassin,Flicker,Support,Inspire,Wilderness Blessing.,Focusing Mark,20:20,2,1,4,10400,15,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,Lose,"Dewa United Esports",Moai,Claude,Marksman,Mathilda,Support/Assassin,Purify,Common,Firmness,Tenacity,Brave Smite,20:20,3,2,1,13300,15,2,0,1,6,7
3/9/2024,Regular Season,1,"Bigetron Alpha",Win,Geek Fam ID,Xorizo,X.Borg,Fighter,Tigreal,Tank,Flicker,Fighter,Agility,Festival of Blood,Brave Smite,17:45,4,2,7,10200,15,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",Win,Geek Fam ID,Kenn,Gusion,Assassin,Lapu-Lapu,Fighter,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,17:45,2,2,10,9600,15,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",Win,Geek Fam ID,Morenoo,Vexana,Mage,Karrie,Marksman,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,17:45,5,1,7,10100,15,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",Win,Geek Fam ID,Kyy,Grock,Tank/Fighter,Ruby,Fighter/Tank,Flicker,Tank,Agility,Wilderness Blessing.,Brave Smite,17:45,1,1,9,8600,15,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",Win,Geek Fam ID,EMANN,Brody,Marksman,Faramis,Support/Mage,Flicker,Assassin,Rupture,Master Assassin,Quantum Charge,17:45,7,4,4,13500,15,8,1,2,10,8
3/9/2024,Regular Season,1,Geek Fam ID,Lose,"Bigetron Alpha",Luke,Yu Zhong,Fighter,Joy,Assassin,Petrify,Fighter,Thrill,Festival of Blood,Quantum Charge,17:45,2,5,4,8800,14,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Lose,"Bigetron Alpha",Reyy,Barats,Tank/Fighter,Nolan,Assassin,Retribution,Tank,Swift,Seasoned Hunter,Concussive Blast,17:45,1,3,1,10500,15,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Lose,"Bigetron Alpha",Aboy,Valentina,Mage,Mathilda,Support/Assassin,Purify,Mage,Agility,Wilderness Blessing.,Impure Rage,17:45,3,2,2,11000,15,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Lose,"Bigetron Alpha",Baloyskie,Arlott,Fighter/Assassin,Minotaur,Tank/Support,Flicker,Fighter,Thrill,Tenacity,Quantum Charge,17:45,1,5,4,8700,14,6,1,1,8,7
3/9/2024,Regular Season,1,Geek Fam ID,Lose,"Bigetron Alpha",Markyyyyy,Bruno,Marksman,Diggie,Support,Purify,Assassin,Thrill,Master Assassin,Quantum Charge,17:45,3,4,2,10200,15,6,1,1,8,7
3/9/2024,Regular Season,2,Geek Fam ID,Lose,"Bigetron Alpha",Luke,Cici,Fighter,Mathilda,Support/Assassin,Vengeance,Fighter,Thrill,Festival of Blood,Brave Smite,16:10,1,2,3,9400,14,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Lose,"Bigetron Alpha",Reyy,Fredrinn,Fighter/Tank,Joy,Assassin,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,16:10,1,3,5,7900,15,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Lose,"Bigetron Alpha",Aboy,Faramis,Support/Mage,Ruby,Fighter/Tank,Purify,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,16:10,3,4,3,9100,14,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Lose,"Bigetron Alpha",Baloyskie,Diggie,Support,Paquito,Fighter/Assassin,Flicker,Mage,Agility,Tenacity,Impure Rage,16:10,0,5,6,7600,14,1,1,1,5,7
3/9/2024,Regular Season,2,Geek Fam ID,Lose,"Bigetron Alpha",Markyyyyy,Ixia,Marksman,Fanny,Assassin,Flicker,Assassin,Thrill,Tenacity,Quantum Charge,16:10,2,1,3,10200,15,1,1,1,5,7
3/9/2024,Regular Season,2,"Bigetron Alpha",Win,Geek Fam ID,Xorizo,Barats,Tank/Fighter,Grock,Tank/Fighter,Flicker,Common,Agility,Tenacity,Brave Smite,16:10,1,0,4,9300,15,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Win,Geek Fam ID,Kenn,Fanny,Assassin,Natalia,Assassin,Retribution,Assassin,Thrill,Festival of Blood,Lethal Ignition,16:10,7,1,4,11900,15,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Win,Geek Fam ID,Morenoo,Vexana,Mage,Nolan,Assassin,Flicker,Mage,Thrill,Wilderness Blessing.,Impure Rage,16:10,1,1,7,9200,15,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Win,Geek Fam ID,Kyy,Arlott,Fighter/Assassin,Guinevere,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,16:10,3,4,4,7700,14,8,1,2,11,11
3/9/2024,Regular Season,2,"Bigetron Alpha",Win,Geek Fam ID,EMANN,Karrie,Marksman,Ruby,Fighter/Tank,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,16:10,3,1,3,12700,15,8,1,2,11,11
3/9/2024,Regular Season,1,Alter Ego,Win,Rebellion Esports,Pai,Terizla,Fighter,X.Borg,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,26:37,5,5,6,16000,15,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Win,Rebellion Esports,Tazz,Guinevere,Fighter,Cici,Fighter,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,26:37,1,1,4,13300,15,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Win,Rebellion Esports,Cr1te,Novaria,Mage,Arlott,Fighter/Assassin,Flicker,Assassin,Rupture,Wilderness Blessing.,Impure Rage,26:37,2,2,8,14200,15,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Win,Rebellion Esports,Rasy,Selena,Assassin/Mage,Ruby,Fighter/Tank,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,26:37,3,4,6,12300,15,9,4,3,12,11
3/9/2024,Regular Season,1,Alter Ego,Win,Rebellion Esports,Nino,Karrie,Marksman,Faramis,Support/Mage,Purify,Fighter,Firmness,Festival of Blood,Brave Smite,26:37,2,0,6,19100,15,9,4,3,12,11
3/9/2024,Regular Season,1,Rebellion Esports,Lose,Alter Ego,Karss,Lapu-Lapu,Fighter,Mathilda,Support/Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,26:37,0,5,3,10900,15,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,Lose,Alter Ego,Vincentt,Hanzo,Assassin,Nolan,Assassin,Retribution,Assassin,Thrill,Wilderness Blessing.,Lethal Ignition,26:37,6,0,4,17000,15,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,Lose,Alter Ego,SwayLow,Vexana,Mage,Joy,Assassin,Purify,Mage,Inspire,Wilderness Blessing.,Impure Rage,26:37,2,4,8,12800,15,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,Lose,Alter Ego,AudyTzy,Tigreal,Tank,Grock,Tank/Fighter,Flicker,Tank,Firmness,Tenacity,Brave Smite,26:37,1,2,9,11100,15,5,0,0,11,14
3/9/2024,Regular Season,1,Rebellion Esports,Lose,Alter Ego,Moai,Claude,Marksman,Fanny,Assassin,Purify,Common,Agility,Tenacity,Quantum Charge,26:37,3,2,5,19000,15,5,0,0,11,14
3/9/2024,Regular Season,2,Rebellion Esports,Win,Alter Ego,Karss,Paquito,Fighter/Assassin,Faramis,Support/Mage,Sprint,Fighter,Agility,Festival of Blood,Quantum Charge,16:26,5,1,3,10400,15,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,Win,Alter Ego,Vincentt,Guinevere,sw,Novaria,Mage,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,16:26,0,3,8,9000,15,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,Win,Alter Ego,SwayLow,Novaria,Mage,Ruby,Fighter/Tank,Flicker,Assassin,Rupture,Wilderness Blessing.,Impure Rage,16:26,2,1,8,9900,14,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,Win,Alter Ego,AudyTzy,Minotaur,Tank/Support,Kaja,Support/Fighter,Flicker,Tank,Firmness,Tenacity,Concussive Blast,16:26,1,1,8,9100,15,7,1,2,7,7
3/9/2024,Regular Season,2,Rebellion Esports,Win,Alter Ego,Moai,Bruno,Marksman,Fanny,Assassin,Purify,Assassin,Fatal,Tenacity,Quantum Charge,16:26,3,0,5,11800,15,7,1,2,7,7
3/9/2024,Regular Season,2,Alter Ego,Lose,Rebellion Esports,Pai,Terizla,Fighter,Arlott,Fighter/Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,16:26,1,2,3,8200,14,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Lose,Rebellion Esports,Tazz,Martis,Fighter,X.Borg,Fighter,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,16:26,3,1,1,9500,15,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Lose,Rebellion Esports,Cr1te,Vexana,Mage,Cici,Fighter,Purify,Mage,Rupture,Wilderness Blessing.,Impure Rage,16:26,0,1,3,7600,13,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Lose,Rebellion Esports,Rasy,Grock,Tank/Fighter,Joy,Assassin,Flicker,Tank,Vitality,Wilderness Blessing.,Brave Smite,16:26,0,4,5,6600,13,6,1,1,7,6
3/9/2024,Regular Season,2,Alter Ego,Lose,Rebellion Esports,Nino,Karina,Assassin,Mathilda,Support/Assassin,Purify,Fighter,Firmness,Festival of Blood,Brave Smite,16:26,2,3,0,10600,15,6,1,1,7,6
3/9/2024,Regular Season,3,Alter Ego,Win,Rebellion Esports,Pai,Gloo,Tank,Baxia,Tank,Flicker,Common,Agility,Tenacity,Brave Smite,26:14,1,1,7,11900,15,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Win,Rebellion Esports,Tazz,Fanny,Assassin,Hanabi,Marksman,Retribution,Assassin,Thrill,Master Assassin,Lethal Ignition,26:14,3,0,4,18300,15,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Win,Rebellion Esports,Cr1te,Vexana,Mage,Guinevere,Fighter,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,26:14,1,2,8,11200,15,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Win,Rebellion Esports,Rasy,Arlott,Fighter/Assassin,Novaria,Mage,Flicker,Tank,Rupture,Tenacity,Brave Smite,26:14,3,3,4,11200,15,9,2,1,12,19
3/9/2024,Regular Season,3,Alter Ego,Win,Rebellion Esports,Nino,Bruno,Marksman,Faramis,Support/Mage,Purify,Assassin,Fatal,Tenacity,Quantum Charge,26:14,2,1,1,17900,15,9,2,1,12,19
3/9/2024,Regular Season,3,Rebellion Esports,Lose,Alter Ego,Karss,Cici,Fighter,Nolan,Assassin,Vengeance,Fighter,Agility,Festival of Blood,Brave Smite,26:14,3,2,3,16200,15,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,Lose,Alter Ego,Vincentt,Martis,Fighter,Mathilda,Support/Assassin,Retribution,Assassin,Thrill,Seasoned Hunter,Brave Smite,26:14,4,3,1,13900,15,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,Lose,Alter Ego,SwayLow,Angela,Support,Joy,Assassin,Flicker,Support,Thrill,Wilderness Blessing.,Focusing Mark,26:14,0,1,7,11100,15,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,Lose,Alter Ego,AudyTzy,Ruby,Fighter/Tank,X.Borg,Fighter,Flicker,Tank,Firmness,Tenacity,Brave Smite,26:14,0,3,6,11200,15,5,2,1,7,8
3/9/2024,Regular Season,3,Rebellion Esports,Lose,Alter Ego,Moai,Karrie,Marksman,Tigreal,Tank,Purify,Fighter,Firmness,Tenacity,Brave Smite,26:14,0,1,3,20300,15,5,2,1,7,8
3/9/2024,Regular Season,1,AURA Fire,Lose,"Dewa United Esports",Aran,Paquito,Fighter/Assassin,Ruby,Fighter/Tank,Flicker,Fighter,Rupture,Festival of Blood,Quantum Charge,17:24,3,4,1,8600,14,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Lose,"Dewa United Esports",Gugun,Barats,Tank/Fighter,Karrie,Marksman,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:24,1,3,4,9100,15,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Lose,"Dewa United Esports",Yehezkiel,Vexana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Agility,Tenacity,Impure Rage,17:24,0,1,7,8300,14,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Lose,"Dewa United Esports",Yawi,Guinevere,Fighter,Grock,Tank/Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,17:24,1,2,3,6900,14,3,1,2,8,7
3/9/2024,Regular Season,1,AURA Fire,Lose,"Dewa United Esports",Kabuki,Bruno,Marksman,Minotaur,Tank/Support,Purify,Assassin,Fatal,Master Assassin,Quantum Charge,17:24,2,4,0,11200,15,3,1,2,8,7
3/9/2024,Regular Season,1,"Dewa United Esports",Win,AURA Fire,Kimura,Arlott,Fighter/Assassin,Cici,Fighter,Flicker,Common,Rupture,Tenacity,Brave Smite,17:24,6,0,6,9200,15,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Win,AURA Fire,Garry,Baxia,Tank,X.Borg,Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:24,2,2,7,10800,15,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Win,AURA Fire,Keyz,Lylia,Mage,Novaria,Mage,Purify,Mage,Agility,Wilderness Blessing.,Lethal Ignition,17:24,2,3,6,10000,15,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Win,AURA Fire,Drian,Kadita,Mage/Assassin,Nolan,Assassin,Sprint,Mage,Rupture,Pull Yourself Together,Lethal Ignition,17:24,1,2,6,8600,15,9,1,1,8,9
3/9/2024,Regular Season,1,"Dewa United Esports",Win,AURA Fire,Watt,Claude,Marksman,Joy,Assassin,Purify,Common,Swift,Tenacity,Quantum Charge,17:24,3,0,4,14000,15,9,1,1,8,9
3/9/2024,Regular Season,2,AURA Fire,Lose,"Dewa United Esports",Aran,Terizla,Fighter,Karrie,Marksman,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,21:55,1,3,7,11400,15,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Lose,"Dewa United Esports",Gugun,Martis,Fighter,Arlott,Fighter/Assassin,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,21:55,7,3,0,11900,15,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Lose,"Dewa United Esports",Yehezkiel,Vexana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,21:55,0,3,7,12800,15,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Lose,"Dewa United Esports",Yawi,Ruby,Fighter/Tank,Minotaur,Tank/Support,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,21:55,0,4,8,8900,15,4,1,2,9,9
3/9/2024,Regular Season,2,AURA Fire,Lose,"Dewa United Esports",Kabuki,Claude,Marksman,Fanny,Assassin,Purify,Common,Agility,Tenacity,Quantum Charge,21:55,5,2,7,17100,15,4,1,2,9,9
3/9/2024,Regular Season,2,"Dewa United Esports",Win,AURA Fire,Kimura,Benedetta,Assassin/Fighter,Baxia,Tank,Sprint,Assassin,Rupture,Festival of Blood,Quantum Charge,21:55,5,3,5,13400,15,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Win,AURA Fire,Garry,Fredrinn,Fighter/Tank,Barats,Tank/Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,21:55,0,4,5,10400,15,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Win,AURA Fire,Keyz,Valentina,Mage,Novaria,Mage,Flicker,Mage,Inspire,Wilderness Blessing.,Quantum Charge,21:55,4,2,5,11700,15,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Win,AURA Fire,Drian,Grock,Tank/Fighter,Nolan,Assassin,Flicker,Tank,Agility,Wilderness Blessing.,Concussive Blast,21:55,0,3,8,9500,15,8,2,1,9,10
3/9/2024,Regular Season,2,"Dewa United Esports",Win,AURA Fire,Watt,Natan,Marksman,Joy,Assassin,Purify,Mage,Thrill,Bargain Hunter,Weakness Finder,21:55,6,1,5,17500,15,8,2,1,9,10
3/10/2024,Regular Season,1,Geek Fam ID,Lose,"ONIC",Luke,Ruby,Fighter/Tank,X.Borg,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,18:37,3,5,7,10400,15,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Lose,"ONIC",Hazle,Martis,Fighter,Lylia,Mage,Retribution,Assassin,Rupture,Seasoned Hunter,Impure Rage,18:37,4,4,5,9700,15,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Lose,"ONIC",Aboy,Faramis,Support/Mage,Cici,Fighter,Purify,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,18:37,3,6,7,10600,15,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Lose,"ONIC",Baloyskie,Grock,Tank/Fighter,Novaria,Mage,Flicker,Common,Agility,Wilderness Blessing.,Brave Smite,18:37,1,1,8,8700,15,3,1,2,10,7
3/10/2024,Regular Season,1,Geek Fam ID,Lose,"ONIC",Caderaa,Karrie,Marksman,Joy,Assassin,Purify,Fighter,Swift,Festival of Blood,Brave Smite,18:37,2,0,6,13300,15,3,1,2,10,7
3/10/2024,Regular Season,1,"ONIC",Win,Geek Fam ID,Butsss,Lapu-Lapu,Fighter,Guinevere,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,18:37,2,4,10,11100,15,9,2,1,7,10
